Provider ID,Payment measure ID,Payment category,Lower estimate,Higher estimate,Value of care display name,Value of care category
100287,PAYM_30_HF,Greater than the National Average Payment,"$16,913 ","$19,752 ",Value of Care Heart Failure measure,Average mortality and higher payment
100287,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$22,368 ","$25,340 ",Value of Care hip/knee replacement measure,Average complications and higher payment
100287,PAYM_30_PN,No Different than the National Average Payment,"$17,103 ","$19,178 ",Value of Care Pneumonia measure,Average mortality and average payment
100288,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
100288,PAYM_30_HF,No Different than the National Average Payment,"$14,412 ","$19,254 ",Value of Care Heart Failure measure,Average mortality and average payment
100288,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$24,852 ","$28,750 ",Value of Care hip/knee replacement measure,Average complications and higher payment
100288,PAYM_30_PN,No Different than the National Average Payment,"$16,293 ","$21,458 ",Value of Care Pneumonia measure,Average mortality and average payment
100289,PAYM_30_AMI,No Different than the National Average Payment,"$20,682 ","$26,068 ",Value of Care Heart Attack measure,Average mortality and average payment
100289,PAYM_30_HF,No Different than the National Average Payment,"$15,891 ","$18,548 ",Value of Care Heart Failure measure,Average mortality and average payment
100289,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$18,541 ","$19,547 ",Value of Care hip/knee replacement measure,Average complications and lower payment
100289,PAYM_30_PN,No Different than the National Average Payment,"$16,255 ","$18,827 ",Value of Care Pneumonia measure,Average mortality and average payment
100290,PAYM_30_AMI,No Different than the National Average Payment,"$22,916 ","$25,313 ",Value of Care Heart Attack measure,Average mortality and average payment
100290,PAYM_30_HF,No Different than the National Average Payment,"$16,417 ","$17,897 ",Value of Care Heart Failure measure,Worse mortality and average payment
100290,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$23,068 ","$25,268 ",Value of Care hip/knee replacement measure,Average complications and higher payment
100290,PAYM_30_PN,No Different than the National Average Payment,"$17,058 ","$18,241 ",Value of Care Pneumonia measure,Worse mortality and average payment
100291,PAYM_30_AMI,No Different than the National Average Payment,"$20,294 ","$26,038 ",Value of Care Heart Attack measure,Average mortality and average payment
100291,PAYM_30_HF,Greater than the National Average Payment,"$17,155 ","$21,904 ",Value of Care Heart Failure measure,Average mortality and higher payment
100291,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$23,409 ","$26,783 ",Value of Care hip/knee replacement measure,Average complications and higher payment
100291,PAYM_30_PN,No Different than the National Average Payment,"$16,231 ","$19,407 ",Value of Care Pneumonia measure,Average mortality and average payment
100292,PAYM_30_AMI,No Different than the National Average Payment,"$22,366 ","$27,708 ",Value of Care Heart Attack measure,Average mortality and average payment
100292,PAYM_30_HF,Less than the National Average Payment,"$13,435 ","$16,166 ",Value of Care Heart Failure measure,Average mortality and lower payment
100292,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$20,275 ","$21,825 ",Value of Care hip/knee replacement measure,Average complications and lower payment
100292,PAYM_30_PN,Less than the National Average Payment,"$14,588 ","$17,247 ",Value of Care Pneumonia measure,Average mortality and lower payment
100296,PAYM_30_AMI,No Different than the National Average Payment,"$20,188 ","$26,618 ",Value of Care Heart Attack measure,Average mortality and average payment
100296,PAYM_30_HF,No Different than the National Average Payment,"$16,110 ","$19,410 ",Value of Care Heart Failure measure,Better mortality and average payment
100296,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$22,330 ","$24,197 ",Value of Care hip/knee replacement measure,Average complications and higher payment
100296,PAYM_30_PN,No Different than the National Average Payment,"$17,161 ","$19,560 ",Value of Care Pneumonia measure,Better mortality and average payment
100298,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
100298,PAYM_30_HF,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
100298,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
100298,PAYM_30_PN,Not Available,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
100299,PAYM_30_AMI,No Different than the National Average Payment,"$20,456 ","$24,310 ",Value of Care Heart Attack measure,Average mortality and average payment
100299,PAYM_30_HF,No Different than the National Average Payment,"$16,275 ","$19,606 ",Value of Care Heart Failure measure,Average mortality and average payment
100299,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$20,429 ","$21,709 ",Value of Care hip/knee replacement measure,Average complications and lower payment
100299,PAYM_30_PN,No Different than the National Average Payment,"$15,875 ","$18,575 ",Value of Care Pneumonia measure,Average mortality and average payment
100302,PAYM_30_AMI,No Different than the National Average Payment,"$22,028 ","$28,205 ",Value of Care Heart Attack measure,Average mortality and average payment
100302,PAYM_30_HF,No Different than the National Average Payment,"$16,003 ","$19,782 ",Value of Care Heart Failure measure,Average mortality and average payment
100302,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
100302,PAYM_30_PN,Greater than the National Average Payment,"$19,278 ","$22,642 ",Value of Care Pneumonia measure,Average mortality and higher payment
100307,PAYM_30_AMI,No Different than the National Average Payment,"$20,635 ","$25,959 ",Value of Care Heart Attack measure,Average mortality and average payment
100307,PAYM_30_HF,No Different than the National Average Payment,"$15,800 ","$18,851 ",Value of Care Heart Failure measure,Average mortality and average payment
100307,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$18,542 ","$19,411 ",Value of Care hip/knee replacement measure,Average complications and lower payment
100307,PAYM_30_PN,No Different than the National Average Payment,"$17,175 ","$19,322 ",Value of Care Pneumonia measure,Average mortality and average payment
100313,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
100313,PAYM_30_HF,No Different than the National Average Payment,"$12,595 ","$16,969 ",Value of Care Heart Failure measure,Average mortality and average payment
100313,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
100313,PAYM_30_PN,Less than the National Average Payment,"$12,083 ","$16,185 ",Value of Care Pneumonia measure,Average mortality and lower payment
100314,PAYM_30_AMI,No Different than the National Average Payment,"$18,937 ","$24,923 ",Value of Care Heart Attack measure,Average mortality and average payment
100314,PAYM_30_HF,No Different than the National Average Payment,"$15,065 ","$17,983 ",Value of Care Heart Failure measure,Average mortality and average payment
100314,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
100314,PAYM_30_PN,Less than the National Average Payment,"$14,971 ","$17,400 ",Value of Care Pneumonia measure,Better mortality and lower payment
100315,PAYM_30_AMI,No Different than the National Average Payment,"$21,421 ","$27,871 ",Value of Care Heart Attack measure,Average mortality and average payment
100315,PAYM_30_HF,No Different than the National Average Payment,"$15,069 ","$18,201 ",Value of Care Heart Failure measure,Average mortality and average payment
100315,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$19,372 ","$20,622 ",Value of Care hip/knee replacement measure,Average complications and lower payment
100315,PAYM_30_PN,No Different than the National Average Payment,"$16,265 ","$18,978 ",Value of Care Pneumonia measure,Average mortality and average payment
100316,PAYM_30_AMI,No Different than the National Average Payment,"$22,486 ","$28,915 ",Value of Care Heart Attack measure,Average mortality and average payment
100316,PAYM_30_HF,Greater than the National Average Payment,"$16,849 ","$19,763 ",Value of Care Heart Failure measure,Average mortality and higher payment
100316,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$21,990 ","$24,180 ",Value of Care hip/knee replacement measure,Average complications and higher payment
100316,PAYM_30_PN,No Different than the National Average Payment,"$16,055 ","$18,374 ",Value of Care Pneumonia measure,Average mortality and average payment
100319,PAYM_30_AMI,No Different than the National Average Payment,"$22,174 ","$28,236 ",Value of Care Heart Attack measure,Average mortality and average payment
100319,PAYM_30_HF,Greater than the National Average Payment,"$17,810 ","$21,466 ",Value of Care Heart Failure measure,Average mortality and higher payment
100319,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$19,061 ","$20,335 ",Value of Care hip/knee replacement measure,Average complications and lower payment
100319,PAYM_30_PN,Greater than the National Average Payment,"$17,576 ","$20,601 ",Value of Care Pneumonia measure,Average mortality and higher payment
100320,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
100320,PAYM_30_HF,No Different than the National Average Payment,"$15,271 ","$19,200 ",Value of Care Heart Failure measure,Average mortality and average payment
100320,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
100320,PAYM_30_PN,No Different than the National Average Payment,"$15,822 ","$20,108 ",Value of Care Pneumonia measure,Average mortality and average payment
100321,PAYM_30_AMI,No Different than the National Average Payment,"$22,860 ","$29,162 ",Value of Care Heart Attack measure,Average mortality and average payment
100321,PAYM_30_HF,No Different than the National Average Payment,"$14,784 ","$17,557 ",Value of Care Heart Failure measure,Average mortality and average payment
100321,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$22,288 ","$24,544 ",Value of Care hip/knee replacement measure,Average complications and higher payment
100321,PAYM_30_PN,No Different than the National Average Payment,"$16,922 ","$19,662 ",Value of Care Pneumonia measure,Average mortality and average payment
100322,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
100322,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
100322,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
100322,PAYM_30_PN,No Different than the National Average Payment,"$12,702 ","$19,030 ",Value of Care Pneumonia measure,Average mortality and average payment
100328,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
100328,PAYM_30_HF,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
100328,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
100328,PAYM_30_PN,Not Available,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
100329,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
100329,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
100329,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
100329,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
101300,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
101300,PAYM_30_HF,No Different than the National Average Payment,"$15,274 ","$20,432 ",Value of Care Heart Failure measure,Average mortality and average payment
101300,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
101300,PAYM_30_PN,No Different than the National Average Payment,"$16,066 ","$21,147 ",Value of Care Pneumonia measure,Average mortality and average payment
101301,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
101301,PAYM_30_HF,No Different than the National Average Payment,"$16,187 ","$19,855 ",Value of Care Heart Failure measure,Average mortality and average payment
101301,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
101301,PAYM_30_PN,No Different than the National Average Payment,"$17,311 ","$20,373 ",Value of Care Pneumonia measure,Average mortality and average payment
101303,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
101303,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
101303,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
101303,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
101304,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
101304,PAYM_30_HF,No Different than the National Average Payment,"$14,353 ","$19,290 ",Value of Care Heart Failure measure,Average mortality and average payment
101304,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
101304,PAYM_30_PN,No Different than the National Average Payment,"$15,537 ","$20,258 ",Value of Care Pneumonia measure,Average mortality and average payment
101305,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
101305,PAYM_30_HF,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
101305,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
101305,PAYM_30_PN,Number of Cases Too Small,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
101307,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
101307,PAYM_30_HF,No Different than the National Average Payment,"$14,729 ","$19,377 ",Value of Care Heart Failure measure,Average mortality and average payment
101307,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
101307,PAYM_30_PN,Greater than the National Average Payment,"$17,488 ","$21,203 ",Value of Care Pneumonia measure,Average mortality and higher payment
101308,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
101308,PAYM_30_HF,No Different than the National Average Payment,"$15,443 ","$19,968 ",Value of Care Heart Failure measure,Average mortality and average payment
101308,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
101308,PAYM_30_PN,Less than the National Average Payment,"$13,540 ","$17,025 ",Value of Care Pneumonia measure,Average mortality and lower payment
101309,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
101309,PAYM_30_HF,No Different than the National Average Payment,"$14,851 ","$19,729 ",Value of Care Heart Failure measure,Average mortality and average payment
101309,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
101309,PAYM_30_PN,No Different than the National Average Payment,"$13,375 ","$18,408 ",Value of Care Pneumonia measure,Average mortality and average payment
101310,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
101310,PAYM_30_HF,No Different than the National Average Payment,"$13,976 ","$17,882 ",Value of Care Heart Failure measure,Average mortality and average payment
101310,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
101310,PAYM_30_PN,Less than the National Average Payment,"$13,964 ","$16,933 ",Value of Care Pneumonia measure,Average mortality and lower payment
101311,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
101311,PAYM_30_HF,No Different than the National Average Payment,"$16,457 ","$21,332 ",Value of Care Heart Failure measure,Average mortality and average payment
101311,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
101311,PAYM_30_PN,No Different than the National Average Payment,"$16,382 ","$21,131 ",Value of Care Pneumonia measure,Average mortality and average payment
101312,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
101312,PAYM_30_HF,Greater than the National Average Payment,"$17,783 ","$24,598 ",Value of Care Heart Failure measure,Average mortality and higher payment
101312,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,581 ","$27,724 ",Value of Care hip/knee replacement measure,Average complications and average payment
101312,PAYM_30_PN,No Different than the National Average Payment,"$16,637 ","$22,400 ",Value of Care Pneumonia measure,Average mortality and average payment
101313,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
101313,PAYM_30_HF,No Different than the National Average Payment,"$12,505 ","$16,673 ",Value of Care Heart Failure measure,Average mortality and average payment
101313,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
101313,PAYM_30_PN,Less than the National Average Payment,"$12,642 ","$16,480 ",Value of Care Pneumonia measure,Average mortality and lower payment
103300,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
103300,PAYM_30_HF,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
103300,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
103300,PAYM_30_PN,Not Available,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
103301,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
103301,PAYM_30_HF,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
103301,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
103301,PAYM_30_PN,Not Available,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
103303,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
103303,PAYM_30_HF,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
103303,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
103303,PAYM_30_PN,Not Available,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
103304,PAYM_30_AMI,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
103304,PAYM_30_HF,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available
103304,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
103304,PAYM_30_PN,Not Available,Not Available,Not Available,Value of Care Pneumonia measure,Not Available
110001,PAYM_30_AMI,Less than the National Average Payment,"$19,489 ","$23,217 ",Value of Care Heart Attack measure,Average mortality and lower payment
110001,PAYM_30_HF,No Different than the National Average Payment,"$15,712 ","$17,696 ",Value of Care Heart Failure measure,Average mortality and average payment
110001,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,817 ","$23,817 ",Value of Care hip/knee replacement measure,Average complications and average payment
110001,PAYM_30_PN,Less than the National Average Payment,"$14,536 ","$15,958 ",Value of Care Pneumonia measure,Average mortality and lower payment
110002,PAYM_30_AMI,No Different than the National Average Payment,"$20,222 ","$26,965 ",Value of Care Heart Attack measure,Average mortality and average payment
110002,PAYM_30_HF,Less than the National Average Payment,"$11,967 ","$15,042 ",Value of Care Heart Failure measure,Average mortality and lower payment
110002,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
110002,PAYM_30_PN,No Different than the National Average Payment,"$15,479 ","$18,529 ",Value of Care Pneumonia measure,Worse mortality and average payment
110003,PAYM_30_AMI,No Different than the National Average Payment,"$22,500 ","$27,839 ",Value of Care Heart Attack measure,Average mortality and average payment
110003,PAYM_30_HF,No Different than the National Average Payment,"$15,983 ","$18,805 ",Value of Care Heart Failure measure,Average mortality and average payment
110003,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,890 ","$25,765 ",Value of Care hip/knee replacement measure,Average complications and average payment
110003,PAYM_30_PN,No Different than the National Average Payment,"$15,571 ","$17,621 ",Value of Care Pneumonia measure,Average mortality and average payment
110005,PAYM_30_AMI,No Different than the National Average Payment,"$22,429 ","$26,001 ",Value of Care Heart Attack measure,Average mortality and average payment
110005,PAYM_30_HF,No Different than the National Average Payment,"$14,770 ","$16,643 ",Value of Care Heart Failure measure,Average mortality and average payment
110005,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$16,719 ","$17,381 ",Value of Care hip/knee replacement measure,Average complications and lower payment
110005,PAYM_30_PN,No Different than the National Average Payment,"$15,836 ","$17,483 ",Value of Care Pneumonia measure,Average mortality and average payment
110006,PAYM_30_AMI,Less than the National Average Payment,"$19,691 ","$23,571 ",Value of Care Heart Attack measure,Average mortality and lower payment
110006,PAYM_30_HF,Less than the National Average Payment,"$13,837 ","$16,404 ",Value of Care Heart Failure measure,Average mortality and lower payment
110006,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$20,975 ","$21,868 ",Value of Care hip/knee replacement measure,Average complications and lower payment
110006,PAYM_30_PN,No Different than the National Average Payment,"$15,862 ","$18,216 ",Value of Care Pneumonia measure,Average mortality and average payment
110007,PAYM_30_AMI,No Different than the National Average Payment,"$22,737 ","$26,297 ",Value of Care Heart Attack measure,Average mortality and average payment
110007,PAYM_30_HF,Less than the National Average Payment,"$14,144 ","$15,971 ",Value of Care Heart Failure measure,Average mortality and lower payment
110007,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,611 ","$23,442 ",Value of Care hip/knee replacement measure,Average complications and average payment
110007,PAYM_30_PN,No Different than the National Average Payment,"$16,417 ","$18,318 ",Value of Care Pneumonia measure,Worse mortality and average payment
110008,PAYM_30_AMI,No Different than the National Average Payment,"$22,548 ","$27,122 ",Value of Care Heart Attack measure,Average mortality and average payment
110008,PAYM_30_HF,No Different than the National Average Payment,"$15,827 ","$18,807 ",Value of Care Heart Failure measure,Worse mortality and average payment
110008,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$19,104 ","$20,928 ",Value of Care hip/knee replacement measure,Average complications and lower payment
110008,PAYM_30_PN,No Different than the National Average Payment,"$15,883 ","$17,882 ",Value of Care Pneumonia measure,Average mortality and average payment
110010,PAYM_30_AMI,No Different than the National Average Payment,"$21,368 ","$25,567 ",Value of Care Heart Attack measure,Average mortality and average payment
110010,PAYM_30_HF,No Different than the National Average Payment,"$15,577 ","$17,369 ",Value of Care Heart Failure measure,Average mortality and average payment
110010,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$18,198 ","$19,005 ",Value of Care hip/knee replacement measure,Average complications and lower payment
110010,PAYM_30_PN,Greater than the National Average Payment,"$17,709 ","$19,749 ",Value of Care Pneumonia measure,Average mortality and higher payment
110011,PAYM_30_AMI,No Different than the National Average Payment,"$22,981 ","$27,673 ",Value of Care Heart Attack measure,Average mortality and average payment
110011,PAYM_30_HF,No Different than the National Average Payment,"$16,454 ","$19,034 ",Value of Care Heart Failure measure,Average mortality and average payment
110011,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$22,548 ","$24,504 ",Value of Care hip/knee replacement measure,Average complications and higher payment
110011,PAYM_30_PN,No Different than the National Average Payment,"$17,236 ","$19,398 ",Value of Care Pneumonia measure,Worse mortality and average payment
110015,PAYM_30_AMI,No Different than the National Average Payment,"$19,998 ","$26,093 ",Value of Care Heart Attack measure,Average mortality and average payment
110015,PAYM_30_HF,No Different than the National Average Payment,"$14,312 ","$18,149 ",Value of Care Heart Failure measure,Average mortality and average payment
110015,PAYM_90_HIP_KNEE,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
110015,PAYM_30_PN,No Different than the National Average Payment,"$15,958 ","$19,592 ",Value of Care Pneumonia measure,Average mortality and average payment
110016,PAYM_30_AMI,No Different than the National Average Payment,"$21,825 ","$26,981 ",Value of Care Heart Attack measure,Average mortality and average payment
110016,PAYM_30_HF,No Different than the National Average Payment,"$15,169 ","$17,652 ",Value of Care Heart Failure measure,Average mortality and average payment
110016,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,290 ","$24,895 ",Value of Care hip/knee replacement measure,Average complications and average payment
110016,PAYM_30_PN,No Different than the National Average Payment,"$16,439 ","$18,769 ",Value of Care Pneumonia measure,Average mortality and average payment
110018,PAYM_30_AMI,No Different than the National Average Payment,"$21,556 ","$26,588 ",Value of Care Heart Attack measure,Average mortality and average payment
110018,PAYM_30_HF,No Different than the National Average Payment,"$15,417 ","$18,248 ",Value of Care Heart Failure measure,Average mortality and average payment
110018,PAYM_90_HIP_KNEE,Greater than the National Average Payment,"$25,487 ","$29,513 ",Value of Care hip/knee replacement measure,Average complications and higher payment
110018,PAYM_30_PN,No Different than the National Average Payment,"$16,067 ","$18,521 ",Value of Care Pneumonia measure,Average mortality and average payment
110023,PAYM_30_AMI,No Different than the National Average Payment,"$22,609 ","$28,121 ",Value of Care Heart Attack measure,Average mortality and average payment
110023,PAYM_30_HF,No Different than the National Average Payment,"$14,364 ","$17,222 ",Value of Care Heart Failure measure,Average mortality and average payment
110023,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$21,070 ","$23,834 ",Value of Care hip/knee replacement measure,Average complications and average payment
110023,PAYM_30_PN,No Different than the National Average Payment,"$15,862 ","$17,968 ",Value of Care Pneumonia measure,Average mortality and average payment
110024,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
110024,PAYM_30_HF,No Different than the National Average Payment,"$14,886 ","$17,466 ",Value of Care Heart Failure measure,Average mortality and average payment
110024,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$19,343 ","$24,014 ",Value of Care hip/knee replacement measure,Average complications and average payment
110024,PAYM_30_PN,No Different than the National Average Payment,"$15,961 ","$18,273 ",Value of Care Pneumonia measure,Average mortality and average payment
110025,PAYM_30_AMI,No Different than the National Average Payment,"$20,790 ","$24,698 ",Value of Care Heart Attack measure,Average mortality and average payment
110025,PAYM_30_HF,Less than the National Average Payment,"$14,699 ","$16,446 ",Value of Care Heart Failure measure,Average mortality and lower payment
110025,PAYM_90_HIP_KNEE,No Different than the National Average Payment,"$20,572 ","$21,992 ",Value of Care hip/knee replacement measure,Average complications and average payment
110025,PAYM_30_PN,Less than the National Average Payment,"$15,252 ","$17,119 ",Value of Care Pneumonia measure,Average mortality and lower payment
110026,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
110026,PAYM_30_HF,Less than the National Average Payment,"$12,550 ","$16,198 ",Value of Care Heart Failure measure,Average mortality and lower payment
110026,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
110026,PAYM_30_PN,Less than the National Average Payment,"$13,349 ","$15,956 ",Value of Care Pneumonia measure,Average mortality and lower payment
110027,PAYM_30_AMI,Number of Cases Too Small,Not Available,Not Available,Value of Care Heart Attack measure,Not Available
110027,PAYM_30_HF,No Different than the National Average Payment,"$15,512 ","$19,796 ",Value of Care Heart Failure measure,Average mortality and average payment
110027,PAYM_90_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available
110027,PAYM_30_PN,No Different than the National Average Payment,"$15,509 ","$18,840 ",Value of Care Pneumonia measure,Average mortality and average payment
110028,PAYM_30_AMI,No Different than the National Average Payment,"$22,593 ","$25,379 ",Value of Care Heart Attack measure,Average mortality and average payment
110028,PAYM_30_HF,Greater than the National Average Payment,"$16,698 ","$18,177 ",Value of Care Heart Failure measure,Average mortality and higher payment
110028,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$18,386 ","$19,166 ",Value of Care hip/knee replacement measure,Average complications and lower payment
110028,PAYM_30_PN,No Different than the National Average Payment,"$17,032 ","$18,422 ",Value of Care Pneumonia measure,Average mortality and average payment
110029,PAYM_30_AMI,No Different than the National Average Payment,"$22,207 ","$24,635 ",Value of Care Heart Attack measure,Average mortality and average payment
110029,PAYM_30_HF,Less than the National Average Payment,"$14,549 ","$15,674 ",Value of Care Heart Failure measure,Better mortality and lower payment
110029,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$18,002 ","$18,670 ",Value of Care hip/knee replacement measure,Better complications and lower payment
110029,PAYM_30_PN,No Different than the National Average Payment,"$16,612 ","$17,646 ",Value of Care Pneumonia measure,Average mortality and average payment
110030,PAYM_30_AMI,No Different than the National Average Payment,"$22,053 ","$27,055 ",Value of Care Heart Attack measure,Average mortality and average payment
110030,PAYM_30_HF,Less than the National Average Payment,"$13,993 ","$16,426 ",Value of Care Heart Failure measure,Average mortality and lower payment
110030,PAYM_90_HIP_KNEE,Less than the National Average Payment,"$19,339 ","$21,232 ",Value of Care hip/knee replacement measure,Average complications and lower payment
