Provider ID,Hospital Name,Address,City,State,ZIP Code,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
161326,MADISON COUNTY MEMORIAL HOSPITAL,300 WEST HUTCHINGS STREET,WINTERSET,IA,50273,5154622373,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available,Not Available
161327,DAVIS COUNTY HOSPITAL,509 NORTH MADISON STREET,BLOOMFIELD,IA,52537,6416642145,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
161328,REGIONAL HEALTH SERVICES OF HOWARD COUNTY,235 8TH AVENUE WEST,CRESCO,IA,52136,5635472101,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
161329,JACKSON COUNTY REGIONAL HEALTH CENTER,700 W GROVE ST,MAQUOKETA,IA,52060,5636522474,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Above the national average,Not Available
161330,AUDUBON COUNTY MEMORIAL HOSPITAL,515 PACIFIC AVENUE,AUDUBON,IA,50025,7125632611,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Not Available
161331,MERCY MEDICAL CENTER-NEW HAMPTON,308 NORTH MAPLE AVENUE,NEW HAMPTON,IA,50659,6413944121,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,4,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
161332,MANNING REGIONAL HEALTHCARE CENTER,1550 SIXTH STREET,MANNING,IA,51455,7126552072,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
161333,STORY COUNTY HOSPITAL,640 SOUTH 19TH STREET,NEVADA,IA,50201,5153822111,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
161334,HUMBOLDT COUNTY MEMORIAL HOSPITAL,1000 NORTH 15TH STREET,HUMBOLDT,IA,50548,5153324200,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average
161335,BUCHANAN COUNTY HEALTH CENTER,1600 FIRST ST EAST,INDEPENDENCE,IA,50644,3193320999,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,4,Not Available,Not Available,Above the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
161336,HEGG MEMORIAL HEALTH CENTER,1202 21ST AVENUE,ROCK VALLEY,IA,51247,7124768000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
161337,VAN BUREN COUNTY HOSPITAL,304 FRANKLIN STREET,KEOSAUQUA,IA,52565,3192933171,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Not Available,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
161338,MERCY HOSPITAL OF FRANCISCAN SISTERS-OELWEIN,201 EIGHTH AVENUE SE,OELWEIN,IA,50662,3192836000,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,Not Available,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
161339,WAVERLY HEALTH CENTER,312  9TH STREET SW,WAVERLY,IA,50677,3193524120,Critical Access Hospitals,Government - Local,Yes,Y,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
161340,DECATUR COUNTY HOSPITAL,1405 NW CHURCH STREET,LEON,IA,50144,6414464871,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
161341,LUCAS COUNTY HEALTH CENTER,1200 NORTH 7TH STREET,CHARITON,IA,50049,6417743000,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
161342,MONROE COUNTY HOSPITAL,6580 165TH STREET,ALBIA,IA,52531,6419322134,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Below the national average
161343,REGIONAL MEDICAL CENTER,709 W MAIN STREET,MANCHESTER,IA,52057,5639273232,Critical Access Hospitals,Proprietary,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
161344,WASHINGTON COUNTY HOSPITAL AND CLINICS,400 EAST POLK STREET,WASHINGTON,IA,52353,3196535481,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Same as the national average
161345,OSCEOLA COMMUNITY HOSPITAL,600 9TH AVENUE NORTH,SIBLEY,IA,51249,7127542574,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
161346,SIOUX CENTER HEALTH,1101 9TH STREET SE,SIOUX CENTER,IA,51250,7127221271,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
161347,FLOYD COUNTY MEDICAL CENTER,800 11TH ST,CHARLES CITY,IA,50616,6412286830,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Above the national average,Same as the national average
161348,CLARKE COUNTY HOSPITAL,800 S FILLMORE ST,OSCEOLA,IA,50213,6413422184,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Same as the national average,Not Available
161349,VIRGINIA GAY HOSPITAL,502 NORTH 9TH AVENUE,VINTON,IA,52349,3194726200,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Not Available,Not Available
161350,STEWART MEMORIAL COMMUNITY HOSPITAL,1301 WEST MAIN STREET,LAKE CITY,IA,51449,7124643171,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
161351,AVERA HOLY FAMILY HOSPITAL,826 NORTH 8TH STREET,ESTHERVILLE,IA,51334,7123622631,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
161352,CLARINDA REGIONAL HEALTH CENTER,220 ESSIE DAVISON DRIVE,CLARINDA,IA,51632,7125422176,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available
161353,KOSSUTH REGIONAL HEALTH CENTER,1515 SOUTH PHILLIPS STREET,ALGONA,IA,50511,5152952451,Critical Access Hospitals,Government - Local,Yes,Y,2,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Same as the national average,Same as the national average
161354,HORN MEMORIAL HOSPITAL,701 E 2ND ST,IDA GROVE,IA,51445,7123643311,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Not Available,Not Available,Above the national average,Not Available,Same as the national average,Same as the national average,Not Available
161355,KNOXVILLE HOSPITAL & CLINICS,1002 SOUTH LINCOLN STREET,KNOXVILLE,IA,50138,6418422151,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
161356,HENRY COUNTY HEALTH CENTER,407 S WHITE ST,MOUNT PLEASANT,IA,52641,3193853141,Critical Access Hospitals,Government - Local,Yes,Y,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Not Available,Same as the national average
161357,PALO ALTO COUNTY HOSPITAL,3201 1ST STREET,EMMETSBURG,IA,50536,7128525500,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
161358,WAYNE COUNTY HOSPITAL,417 SOUTH EAST STREET,CORYDON,IA,50060,6418722260,Critical Access Hospitals,Government - Local,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Same as the national average
161359,BURGESS HEALTH CENTER,1600 DIAMOND STREET,ONAWA,IA,51040,7124232311,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
161360,ORANGE CITY AREA HEALTH SYSTEM,1000 LINCOLN CIRCLE SE,ORANGE CITY,IA,51041,7127374984,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
161361,VAN DIEST MEDICAL CENTER,2350 HOSPITAL DRIVE,WEBSTER CITY,IA,50595,5158329400,Critical Access Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
161362,CHEROKEE REGIONAL MEDICAL CENTER,300 SIOUX VALLEY DRIVE,CHEROKEE,IA,51012,7122255101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Below the national average,Same as the national average,Not Available,Not Available,Not Available
161363,MONTGOMERY COUNTY MEMORIAL HOSPITAL,2301 EASTERN AVENUE,RED OAK,IA,51566,7126237000,Critical Access Hospitals,Government - Local,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
161364,JEFFERSON COUNTY HEALTH CENTER,2000 S MAIN,FAIRFIELD,IA,52556,6414724111,Critical Access Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Same as the national average
161365,GREATER REGIONAL MEDICAL CENTER,1700 WEST TOWNLINE ROAD,CRESTON,IA,50801,6417827091,Critical Access Hospitals,Government - Local,Yes,Y,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
161366,SHENANDOAH MEDICAL CENTER,300 PERSHING AVENUE,SHENANDOAH,IA,51601,7122461230,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
161367,PELLA REGIONAL HEALTH CENTER,404 JEFFERSON STREET,PELLA,IA,50219,6416283150,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
161368,FLOYD VALLEY HOSPITAL,714 LINCOLN ST NE,LE MARS,IA,51031,7125467871,Critical Access Hospitals,Proprietary,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Not Available,Not Available
161369,CRAWFORD COUNTY MEMORIAL HOSPITAL,100 MEDICAL PARKWAY,DENISON,IA,51442,7122652500,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,2,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Not Available,Not Available
161370,LORING HOSPITAL,211 HIGHLAND AVENUE PO BOX 217,SAC CITY,IA,50583,7126627105,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
161371,WINNESHIEK MEDICAL CENTER,901 MONTGOMERY STREET,DECORAH,IA,52101,5633822911,Critical Access Hospitals,Government - Local,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
161372,BOONE COUNTY HOSPITAL,1015 UNION STREET,BOONE,IA,50036,5154323140,Critical Access Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Same as the national average,Below the national average
161373,RINGGOLD COUNTY HOSPITAL,504 NORTH CLEVELAND STREET,MOUNT AYR,IA,50854,6414643226,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
161374,MYRTUE MEDICAL CENTER,1213 GARFIELD AVENUE,HARLAN,IA,51537,7127555161,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Not Available
161375,BUENA VISTA REGIONAL MEDICAL CENTER,1525 WEST 5TH STREET,STORM LAKE,IA,50588,7127324030,Critical Access Hospitals,Government - Local,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
161376,CASS COUNTY MEMORIAL HOSPITAL,1501 EAST TENTH STREET,ATLANTIC,IA,50022,7122433250,Critical Access Hospitals,Government - Local,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Not Available
161377,MERCY MEDICAL CENTER-CENTERVILLE,ONE ST JOSEPHS DRIVE,CENTERVILLE,IA,52544,6414374111,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Not Available
161378,MERCY MEDICAL CENTER-DYERSVILLE,1111 3RD STREET SW,DYERSVILLE,IA,52040,5638757101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
161379,MAHASKA  HEALTH PARTNERSHIP,1229 C AVENUE EAST,OSKALOOSA,IA,52577,6416723100,Critical Access Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Below the national average
161380,HANSEN FAMILY HOSPITAL,920 SOUTH OAK STREET,IOWA FALLS,IA,50126,6416484631,Critical Access Hospitals,Government - Local,Yes,Y,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
161381,SANFORD SHELDON MEDICAL CENTER,118 NORTH 7TH AVENUE,SHELDON,IA,51201,7123245041,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
170006,VIA CHRISTI HOSPITAL PITTSBURG INC,1 MT CARMEL WAY,PITTSBURG,KS,66762,6202316100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
170009,SAINT JOHN HOSPITAL,3500 SOUTH 4TH STREET,LEAVENWORTH,KS,66048,9136806000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
170012,SALINA REGIONAL HEALTH CENTER,400 SOUTH SANTA FE AVENUE,SALINA,KS,67401,7854527000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
170013,HAYS MEDICAL CENTER,2220 CANTERBURY DRIVE,HAYS,KS,67601,7856235000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
170014,RANSOM MEMORIAL HOSPITAL,1301 S MAIN STREET,OTTAWA,KS,66067,7852298200,Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
170016,UNIVERSITY OF KANSAS HLTH SYSTEM ST FRANCIS CAMPUS,1700 SW 7TH STREET,TOPEKA,KS,66606,7852958000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
170017,SUSAN B ALLEN MEMORIAL HOSPITAL,720 W CENTRAL ST,EL DORADO,KS,67042,3163213300,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
170020,HUTCHINSON REGIONAL MEDICAL CENTER INC,1701 E 23RD AVENUE,HUTCHINSON,KS,67502,6206652001,Acute Care Hospitals,Proprietary,Yes,Y,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Above the national average
170023,ST CATHERINE HOSPITAL,401 EAST SPRUCE,GARDEN CITY,KS,67846,6202722222,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
170027,PRATT REGIONAL MEDICAL CENTER,200 COMMODORE ST,PRATT,KS,67124,6204501160,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
170039,SUMNER REGIONAL MEDICAL CENTER,1323 NORTH A STREET,WELLINGTON,KS,67152,6203267451,Acute Care Hospitals,Government - Local,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Below the national average,Above the national average,Not Available
170040,UNIVERSITY OF KANSAS HOSPITAL,4000 CAMBRIDGE STREET,KANSAS CITY,KS,66160,9135887332,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
170049,OLATHE MEDICAL CENTER,20333 WEST 151ST STREET,OLATHE,KS,66061,9137914200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
170058,MERCY HOSPITAL-FORT SCOTT,401 WOODLAND HILLS BLVD,FORT SCOTT,KS,66701,6202237057,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
170068,SOUTHWEST MEDICAL CENTER,315 WEST 15TH STREET,LIBERAL,KS,67901,6206296291,Acute Care Hospitals,Government - Local,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
170074,GEARY COMMUNITY HOSPITAL,1102 ST MARYS ROAD,JUNCTION CITY,KS,66441,7852384131,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
170075,"MERCY HOSPITAL, INC",218 E PACK STREET,MOUNDRIDGE,KS,67107,6203456391,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Not Available,Not Available,Above the national average,Not Available,Same as the national average,Above the national average,Not Available
170086,STORMONT VAIL HOSPITAL,1500 SW 10TH AVENUE,TOPEKA,KS,66604,7853546121,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
170103,NEWTON MEDICAL CENTER,600 MEDICAL CENTER DRIVE,NEWTON,KS,67114,3162832700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
170104,SHAWNEE MISSION MEDICAL CENTER,9100 W 74TH STREET,SHAWNEE MISSION,KS,66204,9136762151,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
170105,MCPHERSON HOSPITAL INC,1000 HOSPITAL DRIVE,MCPHERSON,KS,67460,6202412250,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Not Available
170109,MIAMI COUNTY MEDICAL CENTER,2100 BAPTISTE DRIVE,PAOLA,KS,66071,9135574385,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
170110,BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,415 N MAIN STREET,ULYSSES,KS,67880,6203561266,Acute Care Hospitals,Government - Local,Yes,Y,3,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
170120,LABETTE HEALTH,1902 SOUTH US HWY 59,PARSONS,KS,67357,6204214880,Acute Care Hospitals,Government - Local,Yes,Y,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,3162685000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Below the national average,Above the national average,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average
170123,WESLEY MEDICAL CENTER,550 N HILLSIDE STREET,WICHITA,KS,67214,3169622000,Acute Care Hospitals,Proprietary,Yes,Y,3,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
170133,SAINT LUKES CUSHING HOSPITAL,711 MARSHALL STREET,LEAVENWORTH,KS,66048,9136841102,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
170137,LAWRENCE MEMORIAL HOSPITAL,325 MAINE STREET,LAWRENCE,KS,66044,7855056100,Acute Care Hospitals,Government - Local,Yes,Y,3,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Above the national average
170142,"VIA CHRISTI HOSPITAL MANHATTAN, INC",1823 COLLEGE AVE,MANHATTAN,KS,66502,7857762831,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
170145,"COFFEYVILLE REGIONAL MEDICAL CENTER, INC",1400 W 4TH ST,COFFEYVILLE,KS,67337,6202511200,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
170146,PROVIDENCE MEDICAL CENTER,8929 PARALLEL PARKWAY,KANSAS CITY,KS,66112,9135964000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
170150,SOUTH CENTRAL KS  MED CENTER,6401 PATTERSON PARKWAY,ARKANSAS CITY,KS,67005,6204422500,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Not Available
170166,MORTON COUNTY HOSPITAL,445 N HILLTOP,ELKHART,KS,67950,6206972141,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
170175,WESTERN PLAINS MEDICAL COMPLEX,3001 AVENUE A,DODGE CITY,KS,67801,6202258400,Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Not Available
170176,OVERLAND PARK REG MED CTR,10500 QUIVIRA ROAD,OVERLAND PARK,KS,66215,9135415000,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
170182,MENORAH MEDICAL CENTER,5721 WEST 119TH STREET,OVERLAND PARK,KS,66209,9134986773,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
170183,KANSAS SURGERY & RECOVERY CENTER,2770 NORTH WEBB ROAD,WICHITA,KS,67226,3166340090,Acute Care Hospitals,Physician,No,Y,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
170185,SAINT LUKES SOUTH HOSPITAL,12300 METCALF AVENUE,OVERLAND PARK,KS,66213,9133177904,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
170186,KANSAS HEART HOSPITAL,3601 NORTH WEBB ROAD,WICHITA,KS,67226,3166305000,Acute Care Hospitals,Proprietary,No,Y,5,Same as the national average,Above the national average,Above the national average,Above the national average,Not Available,Not Available,Not Available
170187,SALINA SURGICAL HOSPITAL,401 SOUTH SANTA FE AVENUE,SALINA,KS,67401,7858270610,Acute Care Hospitals,Physician,No,Y,5,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Not Available,Not Available
170188,KANSAS CITY ORTHOPAEDIC INSTITUTE,3651 COLLEGE BLVD,LEAWOOD,KS,66211,9133197633,Acute Care Hospitals,Physician,No,Y,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
170190,MANHATTAN SURGICAL HOSPITAL LLC,1829 COLLEGE AVENUE,MANHATTAN,KS,66502,7857765100,Acute Care Hospitals,Physician,No,Y,5,Not Available,Not Available,Below the national average,Above the national average,Same as the national average,Not Available,Not Available
170191,GREAT BEND REGIONAL HOSPITAL,514 CLEVELAND STREET,GREAT BEND,KS,67530,6207928833,Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
170194,DOCTORS HOSPITAL LLC,4901 COLLEGE BLVD,LEAWOOD,KS,66211,9135291801,Acute Care Hospitals,Proprietary,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170196,"KANSAS SPINE & SPECIALTY HOSPITAL, LLC",3333 NORTH WEBB ROAD,WICHITA,KS,67226,3164625326,Acute Care Hospitals,Physician,No,Y,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
170197,KANSAS MEDICAL CENTER LLC,1124 WEST 21ST STREET,ANDOVER,KS,67002,3163004000,Acute Care Hospitals,Proprietary,Yes,Y,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
170198,"SUMMIT SURGICAL, LLC",1818 EAST 23RD AVENUE,HUTCHINSON,KS,67502,6206626000,Acute Care Hospitals,Physician,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
170199,MINIMALLY INVASIVE SURGERY HOSPITAL,11217 LAKEVIEW AVENUE,LENEXA,KS,66219,9133227401,Acute Care Hospitals,Proprietary,No,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
170200,"VIA CHRISTI HOSPITAL WICHITA ST TERESA, INC",14800 WEST ST TERESA,WICHITA,KS,67235,3167967800,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
170201,"BLUE VALLEY HOSPITAL, INC",12850 METCALF AVENUE,OVERLAND PARK,KS,66213,9132202866,Acute Care Hospitals,Proprietary,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
170203,PREMIER SURGICAL INSTITUTE,1619 K 66,GALENA,KS,66739,6207831732,Acute Care Hospitals,Government - Local,No,Y,5,Not Available,Not Available,Above the national average,Above the national average,Below the national average,Not Available,Not Available
